"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0GSQRT56X","Juxdp",29.99,500,4.8,41,1,331,440,116,86,602,"Artificial Plants & Flowers","6 PCS 27""Artificial Peony Branches, Realistic Silk Peonies Stems(Cream)"
"B0GV9MBJ48","Hananona",44.99,900,4.5,2162,1,689,439,197,142,804,"Artificial Plants & Flowers","Hananona 12 Pcs Artificial Geranium Flowers for Outdoors Geranium Silk Red White Blue Flowers Outdoor UV Resistant Plants Faux Patriotic Flowers for 4th of July Home Decor (12, RedWhiteBlue)"
"B0GV9XRKN8","Hananona",24.99,2000,4.5,2162,1,331,429,195,77,676,"Artificial Plants & Flowers","Hananona 6 Pcs Artificial Geranium Flowers for Outdoors Geranium Silk Flowers Outdoor UV Resistant Plants Faux Patriotic Flowers for 4th of July Home Kitchen Table Centerpieces Decor (6, RedWhiteBlue)"
"B0GVS8GB23","TNELTUEB",79.99,800,4.699999999999999,80,1,4627,438,337,197,1071,"Artificial Plants & Flowers","TNELTUEB 6FT Artificial Olive Tree Indoor with Lights & Planter, Realistic Faux Olive Trees with Lifelike Fruits for Living Room Decor, Tall Fake Silk Plants for Modern Home Office"
"B0GVX3H2FX","Gipsot",20.99,1000,4.5,202,3,699,311,132,104,602,"Artificial Plants & Flowers","Gipsot 15 Bundles Artificial Faux Plants Flowers UV Resistant No-Fade, Adjustable Height Fake Greenery Indoor & Outdoor Decor for Window Garden Porch Patio Pathway Hanging Planter Front Yard, Purple"
"B0GVY9F7LP","lovemoon",44.99,1000,4.699999999999999,265,1,1804,404,305,188,939,"Artificial Plants & Flowers","lovemoon 2 Sets Artificial Hanging Pansies Flowers with Baskets, 24 Pcs Faux Patriotic Silk Pansy Outdoor Flower for Porch Patio Garden Home Summer 4th of July Decor (Y/P/W) (2, RedWhiteBlue)"
"B0GWQSDZVY","Richeerca",18.99,400,4.4,66,1,330,361,133,106,601,"Artificial Plants & Flowers","Richeerca 6 PCS 14"" Artificial Geranium Flowers for Outdoors, Realistic Artificial Flowers UV Resistant Silk Faux Geraniums for Garden Planter Windowsills Patios Wedding Outdoor Home Decor, Red"
"B0GX5S75JR","bakkiet",19.99,1000,4.6000000000000005,117,1,458,394,215,106,755,"Artificial Plants & Flowers","bakkiet Artificial Flowers for Outdoors, 12 Bundles Fake Plants for Outside Decoration, UV Resistant No Fade, Realistic High End Silk Plastic Morning Glory for Planter Porch Patio Yard"
"B0GY877F6P","Cherica",29.99,600,4.9,21,1,280,342,105,81,561,"Artificial Plants & Flowers","Cherica 6Pcs Viral Peony Artificial Flowers for Vase，27in Real Touch Fake Flowers Branches with Flexible Wired Stems for Home Decor DIY Bouquet Centerpieces Wedding Shower Fillers Arrangements,Dusty"
"B0GZDCLG9N","lovemoon",24.98,700,4.6000000000000005,437,1,449,437,194,80,676,"Artificial Plants & Flowers","lovemoon 8 Pcs Artificial Geraniums Realistic Silk Patriotic Flowers, Red White Blue Faux Geranium Flowers for Outdoor Home 4th of July Office Decoration (8, Red White Blue)"
