"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0G9WMRZPK","FAMKCY",69.97,500,4.3,11,1,980,511,305,130,1275,"Health Care","Smooth Spine Triple Fusion Back Massager with Heat - Sciatica Pain Relief & Spine Decompression Device, Deep Tissue Massager for Lower Back Pain, Office Chair and Home Use for Chronic Sufferers"
"B0GDFRLKPV","NEO CHAIR",69.94,400,4.1,3867,2,10886,580,525,250,2439,"Office Furniture & Lighting","NEO CHAIR Desk Office Gaming Computer Chair Ergonomic Executive Mid-Back Leather with Adjustable Padded Flip-Up Armrests Cushion Wheels Swivel for Home Study Task (Black White)"
"B0GF9TKQTW","Cloomey",159.98,900,4.5,150,1,20400,760,570,340,4949,"Furniture","500lbs Big and Tall Office Chair Adjustable Lumbar Support for Back Pain, Extra Wide Seat Executive Office Chair Thick Armrest Pad, Heavy Duty Base&Upgraded Wheels, Ergonomic Comfy Computer Desk Chair"
"B0GFVQD6ZX","NEO CHAIR",55.53,700,4.4,2158,2,9448,555,475,250,2230,"Office Furniture & Lighting","NEO CHAIR Office Desk Ergonomic Computer Mesh Chair with Lumbar Mid Back Support Adjustable Height Swivel Rolling Wheels Comfy Task Vanity Chair for Home Bedroom Study (Pastel Pink)"
"B0GGJ92QKK","Sweetcrispy",44.97,700,4.5,490,1,11199,580,475,250,2321,"Furniture","Sweetcrispy Ergonomic Mid-Back Mesh Home Office Desk Chair with Wheels, Managerial Executive Chair with Lumbar Support, and Comfortable Armrests for Home, Bedroom, Study, Office, Grey"
"B0GHWLZF39","Kslysuty",79.99,1000,4.5,113,2,19709,787,584,235,2630,"Furniture","Kslysuty Desk Computer Gaming Chair - High Back Ergonomic Office Chair with Footrest and Lumbar Support, Swivel Comfy Home Gamer Video Game Chairs with Pocket Spring Cushion for Adults (White Leather)"
"B0GJDFSQ11","Ylzyxal",129.99,400,4.5,74,1,17486,641,483,343,2591,"Furniture","Criss Cross Chair with Flip-Up Arms & Swivel Wheels, Vanity Chair with Adjustable Height & Side Pockets, Comfortable Wide Seat Reclining Computer Office Desk Chairs for Home Office, Make Up, Bed Room"
"B0GL5HPXYD","GTPLAYER",109.99,600,4.3,119,2,13608,559,483,254,2321,"Furniture","GTPLAYER Leather Office Chair, Home Desk Chair with Flip-up Arms and Ergonomic Back - Comfy Heavy Duty Executive Chair for Home Office Gaming, Brown"
"B0GL629DF2","GTPLAYER",99.99,4000,4.3,119,2,13608,559,483,254,2321,"Furniture","GTPLAYER Leather Office Chair, Home Desk Chair with Flip-up Arms and Ergonomic Back - Comfy Heavy Duty Executive Chair for Home Office Gaming, Black"
"B0GLFC6RTQ","Sweetcrispy",64.93,1000,4.4,87,1,13608,525,525,285,2479,"Office Furniture & Lighting","Sweetcrispy Tall Drafting Desk Chair - Ergonomic High Stool Computer with Adjustable Height and Comfy Lumbar Support, Office Rolling Counter with Flip-up Arm and Footrest, Black"
"B0GLX92FFH","N-GEN GAMING",88.86,8000,4.5,3745,2,20099,840,580,245,4018,"Furniture","N-GEN GAMING Video Gaming Chair with Footrest Lumbar Support for Home Office High Back Recliner Height Adjustable Ergonomic Comfy Leather Computer Desk Chair (Carbon Black)"
"B0GN1P7DTT","HOMRELEXA",225.14,400,4.3,1059,1,24988,851,572,351,5622,"Office Furniture & Lighting","HOMRELEXA Big and Tall Office Chair, Flip Armrests for Pets & Cross Legged Sitting, Executive Ergonomic Computer Gaming Chair with Foot Rest, Gliter Fabric Wide Seat Reclining Desk Chair"
"B0GN34Y6X5","Sofayonn",189.98,400,4.3,53,1,28000,760,570,420,6010,"Office Furniture & Lighting","Office Chair,Big and Tall Heavy-Duty Executive Reclining Computer Gaming Chair with Footrest,Flip Armrests,Lumbar Pillow&Thicken Wider Seat for Criss Cross Legged Desk Vanity Chair,Teddy Fabric White"
"B0GPKVWD6F","Sweetcrispy",66.97,500,4.5,3014,1,15286,690,533,284,2955,"Furniture","Sweetcrispy Computer Gaming Desk Chair: Big Tall Ergonomic Lumbar Support with Flip-up Armrest and 360° Swivel Wheels, PU Leather Height Adjustable, for Home and Office, Black"
"B0GQ6FKJHF","NEO CHAIR",55.53,600,4.4,80,2,9902,495,435,260,2017,"Furniture","NEO CHAIR Office Vanity Chair with Wheels Comfy Desk Chair for Girls Cute Computer Small Armless Adjustable Height Swivel for Home Bedroom Task (White)"
"B0GQDC66WQ","Sweetcrispy",89.17,500,4.3,461,1,18497,640,525,320,3034,"Furniture","Sweetcrispy Office Computer Desk Chair, Ergonomic High-Back Mesh Rolling Work Swivel Chairs with Wheels, Comfortable Lumbar Support, Comfy Arms for Home, Bedroom, Study, Student, Black"
"B0GRR3J5C1","Sweetcrispy",44.96,600,4.5,490,1,11199,580,475,250,2321,"Furniture","Sweetcrispy Ergonomic Mid-Back Mesh Home Office Desk Chair with Wheels, Managerial Executive Chair with Lumbar Support, and Comfortable Armrests for Home, Bedroom, Study, Office, Pink"
"B0GS8TKFLD","NEO CHAIR",62.94,400,4.6000000000000005,521,2,13399,645,530,250,2615,"Furniture","NEO CHAIR Criss Cross Chair with Wheels Home Office Cross Legged Armless Chairs Adjustable Computer Desk Wide Seat for Bedroom Vanity Comfy Swivel (Teddy White)"
"B0GS93KQTC","Dowinx",199.99,400,4.5,78,1,25991,725,720,420,7330,"Furniture","Dowinx Cross Legged Office Chair with Pivoting Armrests,Criss Cross Chair with Pocket Spring Seat & Back,Reclining Computer Gaming Chair with Footrest and Metal Base (Cream)"
"B0GSR2ZVG9","Qticare",69.99,1000,4.5,47,1,549,254,235,88,645,"Office Furniture & Lighting","Qticare Airplane Seat Cushion, Air-Cell Travel Cushion for Long Flights, Inflatable Portable Seat Pad with Built-in Pump for Air Travel, Car, Office Chair and Wheelchair"
"B0GTQ8QS1H","Sweetcrispy",56.94,400,4.699999999999999,54,1,11998,990,570,170,3000,"Office Furniture & Lighting","Sweetcrispy Waiting Room Guest Chair, Stationary Office Reception Chairs No Wheel, Comfy Padded Arms and Seld Base, for Conference Room Lobby Home Computer Desk Bedroom Elderly, Deep Black"
"B0GTXG97WT","ZABINS",81.99,400,4.699999999999999,17,2,15966,810,589,249,4018,"Furniture","ZABINS Gaming Chair with Footrest and Lumbar Support, Height Adjustable Chair with 360°Office Desk Chair,Heavy Duty 330lbs Computer Chair for Adults"
"B0GTY5VWF8","Sweetcrispy",50.7,500,4.5,2225,1,11199,580,475,250,2321,"Office Furniture & Lighting","Sweetcrispy Home Office Managerial Executive Chair with Ergonomic Design, Mid-Back Mesh Swivel, Comfortable Lumbar Support, Comfy Arms for Bedroom,Study,Student, Black"
"B0GVGZW415","QLTPLUS",149.99,600,4.8,142,3,15059,591,533,305,2813,"Furniture","QLTPLUS Office Desk Chair for Long Hours & Lower Back Pain Relief – 4“ Thick Molded Foam Cushion, Enhanced Lumbar Support, Padded Flip-up Armrests, Ideal for Office or Study, Black"
"B0GVHZTP7J","Furmax",99.99,1000,4.3,5386,3,16601,889,571,343,5777,"Office Furniture & Lighting","Furmax Office Executive Chair High Back Adjustable Managerial Home Desk Chair, Swivel Computer PU Leather Chair with Lumbar Support"
"B0GVL389RH","ComfiLife",69.99,600,4.4,108615,1,1383,489,399,83,1225,"Medical Supplies & Equipment","ComfiLife Extra Large Gel & Memory Foam Seat Cushion - Doctor Recommended Office Chair Cushion, Car Seat Cushion - Back & Sciatica Pain Relief - Wide Seat Cushion for Big & Tall (Black)"
"B0GVMNMXCV","JEDAWN",85.99,400,4.1,27,3,1070,208,200,200,773,"Health Care","Smooth Spine Triple Fusion Back Massager with Heat - Sciatica Pain Relief & Spine Decompression Device, Deep Tissue Massager for Lower Back Pain, Office Chair and Home Use for Chronic Sufferers"
"B0GVN8YSZS","Sweetcrispy",53.93,1000,4.5,366,1,13499,660,520,250,2615,"Furniture","Sweetcrispy Criss Cross Chair Legged, Furry Armless Office Swivel Desk Chairs No Wheels, Vanity Height Adjustable Wide Seat Comfy Cute Computer Task Chair for Home Bedroom, Teddy Beige"
"B0GVNJ3WMS","Sweetcrispy",66.98,600,4.5,366,1,13499,660,520,250,2615,"Furniture","Sweetcrispy Criss Cross Chair Legged, Furry Armless Office Swivel Desk Chairs No Wheels, Vanity Height Adjustable Wide Seat Comfy Cute Computer Task Chair for Home Bedroom, Teddy Pink"
